Author,Name variants,Affiliation,Level 1,Level 2
"Doman, Ryszard",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Pracownia Ekonometrii Finansowej
"Płuciennik, Piotr",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Pracownia Ekonometrii Finansowej
"Czarnowski, Roman",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Algebry i Teorii Liczb
"Gierszewski, Karol",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Algebry i Teorii Liczb
"Grześkowiak, Maciej",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Algebry i Teorii Liczb
"Kaczorowski, Jerzy",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Algebry i Teorii Liczb
"Łydka, Adrian",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Algebry i Teorii Liczb
"Mance, Bill",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Algebry i Teorii Liczb
"Pańkowski, Łukasz",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Algebry i Teorii Liczb
"Werbiński, Tadeusz",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Algebry i Teorii Liczb
"Wiertelak, Kazimierz",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Algebry i Teorii Liczb
"Rutkowski, Jerzy",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Algebry i Teorii Liczb
"Radziejewski, Maciej",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Algebry i Teorii Liczb
"Berlińska, Joanna",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Algorytmiki i Metod Numerycznych
"Suwalski, Cezary",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Algorytmiki i Metod Numerycznych
"Gawiejnowicz, Stanisław",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Algorytmiki i Metod Numerycznych
"Dębczyński, Marek",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Algorytmiki i Metod Numerycznych
"Kaczmarek, Jan",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Algorytmiki i Metod Numerycznych
"Kurc, Wiesław",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Algorytmiki i Metod Numerycznych
"Palka, Zbigniew",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Algorytmiki i Metod Numerycznych
"Przybylski, Bartłomiej",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Algorytmiki i Metod Numerycznych
"Szulc, Tomasz",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Algorytmiki i Metod Numerycznych
"Waszak, Aleksander",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Algorytmiki i Metod Numerycznych
"Wojtera-Tyrakowska, Dominika",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Algorytmiki i Metod Numerycznych
"Żurowski, Marcin",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Algorytmiki i Metod Numerycznych
"Ciaś, Tomasz",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Analizy Funkcjonalnej
"Domański, Paweł",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Analizy Funkcjonalnej
"Drewnowski, Lech",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Analizy Funkcjonalnej
"Golińska, Anna","Czyżak, Anna",Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Analizy Funkcjonalnej
"Goliński, Michał",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Analizy Funkcjonalnej
"Kasprzak, Henryk",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Analizy Funkcjonalnej
"Kąkol, Jerzy",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Analizy Funkcjonalnej
"Michalak, Artur",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Analizy Funkcjonalnej
"Nawrocki, Marek",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Analizy Funkcjonalnej
"Piszczek, Krzysztof",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Analizy Funkcjonalnej
"Przestacki, Adam",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Analizy Funkcjonalnej
"Śliwa, Wiesław",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Analizy Funkcjonalnej
"Zioło, Piotr",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Analizy Funkcjonalnej
"Wnuk, Witold",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Analizy Funkcjonalnej
"Dutkiewicz, Aldona",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Analizy Matematycznej
"Jasiczak, Michał",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Analizy Matematycznej
"Migda, Janusz",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Analizy Matematycznej
"Sołtysiak, Andrzej",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Analizy Matematycznej
"Szufla, Stanisław",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Analizy Matematycznej
"Banaszak, Grzegorz",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Arytmetycznej Geometrii Algebraicznej
"Barańczuk, Stefan",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Arytmetycznej Geometrii Algebraicznej
"Blinkiewicz, Dorota",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Arytmetycznej Geometrii Algebraicznej
"Kaim, Aleksandra",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Arytmetycznej Geometrii Algebraicznej
"Rzonsowski, Piotr",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Arytmetycznej Geometrii Algebraicznej
"Szydło, Bogdan",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Arytmetycznej Geometrii Algebraicznej
"Uetake, Yoichi",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Arytmetycznej Geometrii Algebraicznej
"Adamczak, Magdalena",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Dydaktyki Matematyki
"Juskowiak, Edyta",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Dydaktyki Matematyki
"Korcz, Maria",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Dydaktyki Matematyki
"Machowski, Stanisław",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Dydaktyki Matematyki
"Maciejewska, Aleksandra",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Dydaktyki Matematyki
"Nowińska, Edyta",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Dydaktyki Matematyki
"Sierocka, Janina",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Dydaktyki Matematyki
"Stróżyk, Joanna",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Dydaktyki Matematyki
"Winnicki, Krzysztof",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Dydaktyki Matematyki
"Bzdęga, Bartłomiej",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Geometrii Algebraicznej i Diofantycznej
"Gajda, Wojciech",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Geometrii Algebraicznej i Diofantycznej
"Garnek, Jędrzej",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Geometrii Algebraicznej i Diofantycznej
"Górnisiewicz, Krzysztof",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Geometrii Algebraicznej i Diofantycznej
"Narożańska, Magdalena",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Geometrii Algebraicznej i Diofantycznej
"Naskręcki, Bartosz",,Mickiewicza,Wydział Matematyki i Informatyki UAM,Zakład Geometrii Algebraicznej i Diofantycznej
