"title","year","points","journal","doi","issn","eissn","author","affiliation","employment"
"On Cops and Robbers on $G^{\Xi}$ and cop-edge critical graphs.",2017,20,"Contributions to Discrete Mathematics",,"1715-0868",,"Witkowski, Marcin",TRUE,TRUE
"On Cops and Robbers on $G^{\Xi}$ and cop-edge critical graphs.",2017,20,"Contributions to Discrete Mathematics",,"1715-0868",,"Witkowski, Łukasz",TRUE,FALSE
"On Relations between Non-Archimedean Generalized Power Series Spaces",2015,30,"JOURNAL OF CONVEX ANALYSIS",,"0944-6532",,"Śliwa, Wiesław",TRUE,TRUE
"(DN)-(<U+03A9>)-type conditions for Fréchet operator spaces",2013,25,"PACIFIC JOURNAL OF MATHEMATICS","10.2140/pjm.2013.261.237","0030-8730",,"Piszczek, Krzysztof",TRUE,TRUE
"1-Local 33/24-Competitive Algorithm for Multicoloring Hexagonal Graphs",2013,20,"DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE",,"1462-7264",,"Witkowski, Rafał",TRUE,TRUE
"\(L^{p}\)-Norms and Mahler’s Measure of Polynomials on the n-Dimensional Torus",2016,45,"CONSTRUCTIVE APPROXIMATION","10.1007/s00365-015-9319-x","0176-4276",,"Mastyło, Mieczysław",TRUE,TRUE
"A  Survey and Analysis of the GNSS Spoofing Threat and Countermeasures",2016,50,"ACM COMPUTING SURVEYS","10.1145/2897166","0360-0300",,"Ren, Michał",TRUE,TRUE
"A bijection for rooted maps on general surfaces",2017,35,"JOURNAL OF COMBINATORIAL THEORY SERIES A","10.1016/j.jcta.2016.08.001","0097-3165",,"Dołęga, Maciej",TRUE,TRUE
"A comparison of tests for the one-way ANOVA problem for functional data",2015,20,"COMPUTATIONAL STATISTICS","10.1007/s00180-015-0555-0","0943-4062",,"Smaga, Łukasz",TRUE,TRUE
"A comparison of tests for the one-way ANOVA problem for functional data",2015,20,"COMPUTATIONAL STATISTICS","10.1007/s00180-015-0555-0","0943-4062",,"Górecki, Tomasz",TRUE,TRUE
"A geometric criterion for compactness of invariant subspaces",2013,20,"ARCHIV DER MATHEMATIK","10.1007/s00013-013-0554-8","0003-889X",,"Skrzypczak, Leszek",TRUE,TRUE
"A hierarchy of maximal intersecting triple systems",2017,11,"Opuscula Mathematica","10.7494/OpMath.2017.37.4.597","1232-9274","2300-6919","Polcyn-Lewandowska, Joanna",TRUE,TRUE
"A hierarchy of maximal intersecting triple systems",2017,11,"Opuscula Mathematica","10.7494/OpMath.2017.37.4.597","1232-9274","2300-6919","Ruciński, Andrzej",TRUE,TRUE
"A Jordan-like decomposition in the noncommutative Schwartz space",2015,20,"Bulletin of the Australian Mathematical Society","10.1017/S0004972714001087","0004-9727",,"Piszczek, Krzysztof",TRUE,TRUE
"A kernel-based learning algorithm combining kernel discriminant coordinates and kernel principal components",2014,12,"Biometrical Letters","10.2478/bile-2014-0005","1896-3811",,"Krzyśko, Mirosław",TRUE,TRUE
"A learning algorithm combining functional discriminant coordinates and functional principal components",2014,10,"Discussiones Mathematicae Probability and Statistics","10.7151/dmps1163","1509-9423",,"Górecki, Tomasz",TRUE,TRUE
"A learning algorithm combining functional discriminant coordinates and functional principal components",2014,10,"Discussiones Mathematicae Probability and Statistics","10.7151/dmps1163","1509-9423",,"Krzyśko, Mirosław",TRUE,TRUE
"A linear bound on the dimension in Green–Ruzsa's theorem",2013,20,"JOURNAL OF NUMBER THEORY","10.1016/j.jnt.2012.09.012","0022-314X",,"Schoen, Tomasz",TRUE,TRUE
"A local approximation algorithm for minimum dominating set problem in anonymous planar networks",2015,25,"DISTRIBUTED COMPUTING","10.1007/s00446-015-0247-6","0178-2770","1432-0452","Wawrzyniak, Wojciech",TRUE,TRUE
"A non-archimedean Dugundji extension theorem",2013,15,"CZECHOSLOVAK MATHEMATICAL JOURNAL","10.1007/s10587-013-0010-8","0011-4642",,"Kąkol, Jerzy",TRUE,TRUE
"A non-archimedean Dugundji extension theorem",2013,15,"CZECHOSLOVAK MATHEMATICAL JOURNAL","10.1007/s10587-013-0010-8","0011-4642",,"Śliwa, Wiesław",TRUE,TRUE
"A note on D-efficiency of biased chemical balance weighing designs",2014,8,"Colloquium Biometricum",,"1896-7701",,"Katulska, Krystyna",TRUE,TRUE
"A note on D-efficiency of biased chemical balance weighing designs",2014,8,"Colloquium Biometricum",,"1896-7701",,"Smaga, Łukasz",TRUE,TRUE
"A note on D-optimal chemical balance weighing designs and their application",2013,8,"Colloquium Biometricum",,"1896-7701",,"Katulska, Krystyna",TRUE,TRUE
"A note on D-optimal chemical balance weighing designs and their application",2013,8,"Colloquium Biometricum",,"1896-7701",,"Smaga, Łukasz",TRUE,TRUE
"A note on D-optimal chemical balance weighing designs with autocorrelated observations",2016,20,"STATISTICAL PAPERS","10.1007/s00362-015-0676-0","0932-5026",,"Smaga, Łukasz",TRUE,TRUE
"A note on the D-optimality and D-efficiency of nonorthogonal blocked main effects plans",2016,12,"Biometrical Letters","10.1515/bile-2016-0009","1896-3811",,"Smaga, Łukasz",TRUE,TRUE
"A Note on the Paper ”Fractional Order Pettis Integral Equations with Multiple Time Delay in Banach Spaces” by M. Benchohra and F.-Z. Mostefai",2015,15,"Analele Stiintifice ale Universitatii Al I Cuza din Iasi-Serie Noua-Matematica","10.1515/aicu-2015-0025","1221-8421",,"Cichoń, Mieczysław",TRUE,TRUE
"A Note on the Spectrum of Composition Operators on Spaces of Real Analytic Functions",2017,20,"Complex Analysis and Operator Theory","10.1007/s11785-016-0589-5","1661-8254","1661-8262","Domański, Paweł",TRUE,TRUE
"A note on the sum of closed ideals and Riesz subspaces",2015,25,"POSITIVITY","10.1007/s11117-014-0288-2","1385-1292",,"Wnuk, Witold",TRUE,TRUE
"A preservation result for completely regular locales",2014,20,"TOPOLOGY AND ITS APPLICATIONS","10.1016/j.topol.2014.02.017","0166-8641",,"Kubiak, Tomasz",TRUE,TRUE
